"rid";"_cities_rid";"_cltypes_rid";"name";"logo";"address";"phones";"skype";"icq";"url";"isloaded";"actual_days";"price_email";"price_url";"creadits_info";"delivery_info";"worktime_info";"descr";"contact_phones";"contact_email";"contact_person";"createdt";"active";"popularity"
28;1178;5;"Магистр";"Магистр";"123321";"(495)643-0-333";"germagen";"327980166";"http://www.gsmstar.ru";false;1;"";"";false;"Кoмпaния Gsmstar.ru  пpeдocтaвляeт услуги по дocтaвкe oбopудoвaния для экoнoмии вaшeгo вpeмeни и pecуpcoв. Пo вceм paзмeщeнным зaкaзaм дocтaвкa ocущecтвляeтcя в тeчeниe 1-2 днeй пocлe coглacoвaния зaкaзa c мeнeджepoм кoмпaнии. 
Зaявки нa дocтaвку, пpинятыe в субботу после обеда, выпoлняютcя нa cлeдующeй нeдeлe. 
Куpьepcкaя cлужбa кoмпaнии ocущecтвляeт дocтaвку зaкaзoв клиeнтaм пo paбoчим дням c 10.00 дo 19.00.";"пo paбoчим дням c 10.00 дo 19.00.";"Предлагаем GSM шлюзы, терминалы, а так же стационарные GSM телефоны Wavelink. EDGE и GPRS модемы Siemens, Conel, Nowacom. Аксессуары к GSM оборудованию ( GSM антенны, интерфейсные кабели, блоки питания). Розничные и оптовые поставки. Доставка по России. Предоставляем гарантию на все оборудование, а также гарантийное и после гарантийное техническое обслуживание.";"(495)643-0-333";"info@mobileme.ru";"Синицын Антон";[2008/02/01:01:42:08 PM];true;0
29;1178;5;"Med-Magazin.ru";"Med-Magazin.ru";"125364";"221-53-00";"";"";"http://www.med-magazin.ru";true;1;"";"http://med-magazin.ru/ymprice.php";false;"Доставка по Москве в течении 24 часов собственной курьерской службой. 
Доставка по всей России!";"Ежедневно с 10.00 до 20.00, без выходных и перерывов";"Магазин медтехники, реабилитационного оборудования,  медицинских товаров и средств по уходу за больными и пожилыми людьми, по  адресу: г.Москва, ул.Свободы, д.42. Вы можете заказать товар в нашем магазине из любой страны мира. Возможность оплаты кредитными картами, электронными деньгами. Доставка по Москве в течении 24часов собственной курьерской службой. Доставка по всей России! Вы можете заказать товар в нашем магазине из любой страны мира. Оплатить покупку кредитной картой, а мы доставим его вашим близки";"749-08-81";"armen@med-magazin.ru";"Армен Эдуардович";[2008/02/03:01:27:36 PM];true;0
30;8;5;"kmstroy";"kmstroy";"20020";"80442294310";"";"412005143";"http://km-stroy.com.ua";false;1;"";"";false;"Стоимость доставки по Киеву 100грн., по области обсуждается отдельно.";"С понедельника по пятницу с 9:00 до 18:00.";"KM-STROY.COM.UA  Интернет-магазин стройматериалов для ремонта домов, квартир и офисов в г. Киеве и Киевской области. Большой выбор материалов.  Быстрая и гарантированная доставка. Возникли вопросы ?!  Звоните прямо сейчас: (044) 229-43-10";"(044)2294310";"kmstroy@gmail.com";"Антон";[2008/02/04:11:52:30 AM];true;0
31;1178;5;"Anysoft.ru";"Anysoft.ru";"125315";"+7 495 101-3954";"";"";"http://www.anysoft.ru";true;1;"";"http://www.anysoft.ru/market.php";false;"Электронно и физическая поставка.";"интернет-магазин";"Поставка профессионального программного обеспечения";"+7 495 101-3954";"info@anysoft.ru";"Менеджер Магазина";[2008/02/04:03:35:47 PM];true;0
32;1178;5;"Раннее развитие";"Раннее развитие";"107023";"(495)509-42-24, 502-32-71";"";"";"http://www.razvivalki.ru";true;3;"";"http://www.razvivalki.ru/cgi-bin/price_yml_yandex.pl";false;"Доставка по всему миру.";"Круглосуточно. Доставка в пределах Москвы - только по рабочим дням.";"Интернет-магазин развивающих игр для детей. Доставка развивающих игр в любую точку мира! Быстрая доставка развивающих игр по Москве! Мы даем скидки вам и вашим друзьям. Максимальная скидка в нашем магазине - 26%!";"(495)502-32-71";"rk-dom@mail.ru";"Алексей Буров";[2008/02/05:11:02:51 AM];true;0
33;8;5;"Дномобайл";"Дномобайл";"3110";"(044) 593-87-53";"";"146638639";"http://www.dno.com.ua/";true;3;"";"http://dno.com.ua/yml/yandex.php";false;"Бесплатная доставка по Киеву";"пн.-пт. 10.00-18.00";"Лучшие цены на электронику в \""Дномобайл\""";"(044) 593-87-53";"info@dno.com.ua";"Денис";[2008/02/06:01:58:50 PM];true;0
34;1178;5;"Си Тек ООО";"Си Тек ООО";"143900";"(495)521-81-21";"";"";"http://www.retop.ru";true;1;"";"http://www.retop.ru/yandex.php?download=1";false;"• Доставка на сумму до 3000 рублей:в пределах МКАД – 150 руб.
за пределы МКАД – 150 руб. + 20 руб./км  
• Доставка на сумму более 3000 рублей:в пределах МКАД – бесплатно
за пределы МКАД – 20 руб./км
Подъем: Холодильник - 100 рублей за этаж; Стиральная машина, плита (газовая, электрическая), телевизор с размером диагонали от 26 дюймов и более - 50 рублей за этаж";"с 10:00 до 19:00 с понедельника по пятницу.";"В магазине ReTop.RU  вы всегда найдете широкий ассортимент товаров. Весь ассортимент бытовой техники Bork - соковыжималки Bork, кофемолки Bork, кофеварки Bork, пылесосы Bork и др.. Ассортимент техники Dyson - пылесосы Dyson. Ассортимент климатической техники Nobo - конвекторы Nobo, обогреватель стеклянный Nobo. Ассортимент климатической техники THERMOR - конвектор THERMOR. Timberk -  водонагреватели накопительные Timberk.";"";"info@retop.ru";"Сергей";[2008/02/15:10:24:16 PM];true;0
35;1178;5;"Дайв Сайт";"Дайв Сайт";"125565";"(495) 601-9432, (800) 333-3483";"AppexDiving";"";"http://www.appexdiving.ru";true;2;"";"http://www.appexdiving.ru/yandexXML";false;"В любой регион России и страны СНГ.";"Заказы принимаются круглосуточно.";"Магазин снаряжения для дайвинга и подводной охоты.";"(495) 601-9432, (800) 333-3483";"post@appexdiving.ru";"Виталий Рокотянский";[2008/02/18:04:22:13 PM];true;0
36;8;5;"Софткей-Украина";"Софткей-Украина";"3037";"+38 044 494 44 88";"";"246251724";"http://www.softkey.ua";false;1;"";"http://www.softkey.ua/hint_ua.php";false;"Доставка осуществляется по тарифам курьерских служб. Доставка по Киеву курьером.";"Круглосуточно";"Софткей-Украина - интернет-супермаркет лицензионного программного обеспечения.
Более 6000 программных продуктов от более чем 600 разработчиков. Честные цены, быстрая доставка, качественный суппорт!";"+38 044 494 44 88";"stas@softkey.ua";"Стас Рудый";[2008/02/19:10:55:21 AM];true;0
37;8;4;"СПЕКТР-ПЛЮС";"СПЕКТР-ПЛЮС";"3039";"80683550271";"";"";"http://www.profix.com.ua";false;14;"";"";false;"По Украине за счет заказчика любым перевозчиком.";"Ежедневно с 10-00 до 18-00, кроме субботы, воскресенья";"Наша Компания предлагает оптом и в розницу широкий спектр материалов для кузовного ремонта и покраски автомобилей: PPG, Profix, Sata, Colad, Automaxxx, 3M, Hamach (автоэмали, лаки, шпатлевки, амбразивные материалы, полироли, и т.д.)";"";"adm.spektr@gmail.com";"Светлана";[2008/02/19:09:54:49 PM];true;0
38;8;5;"MC-Trade";"MC-Trade";"2147";"(044)5923725";"";"159708665";"http://www.mc-trade.kiev.ua/";true;14;"";"http://www.mc-trade.kiev.ua/mctrade_price.xml";false;"Доставка по Киеву бесплатно. Доставка по Украине.";"Пн-Пт 10.00-18.00, Сб. 10.00-15.00";"MP3 флеш и HDD плейеры, цифровые фотоаппараты.";"(044)5923125";"sales@mc-trade.kiev.ua";"Дмитрий";[2008/02/25:02:35:18 PM];true;0
39;8;5;"kypi.com";"kypi.com";"3040";"(044) 2234764";"";"228154966";"http://www.kypi.com.ua";false;1;"";"http://kypi.com.ua/price.php";false;"Стоимость доставки товара 20грн.";"Пн-Пт с 10-00 до 19-00 Сб с 10-00 до 16-00";"Интернет магазин www.kypi.com.ua  предлагает цифровую фото и видеотехнику, мр3 плееры, карты памяти, флеш карты и многое другое с доставкой по Киеву";"2234764";"asp@ukr.net";"Александр";[2008/02/25:02:45:44 PM];true;0
40;8;5;"Электромаг";"Электромаг";"2140";"+38(044)361-39-41, +38(068)592-98-42";"";"362873333";"http://www.electromag.com.ua/";false;1;"";"http://www.electromag.com.ua/export/nadavi.xml";false;"Киев - бесплатно.
Доставка по Украине происходит при поддержке курьерских служб доставки. Стоимость и время доставки рассчитывается индивидуально, в зависимости от дальности, габаритов и веса груза, а так же от выбранного перевозчика и способа доставки. Доставку Вашего товара в транспортную компанию мы осуществляем БЕСПЛАТНО.";"* по рабочим дням – с 10-00 до 18-00
                    * суббота – с 11-00 до 14-00 (работают дежурные менеджеры)";"ЭлектроМаг - интернет магазин бытовой техники в Киеве, специализирующийся на оптовой и розничной продаже бытовой техники и электроники ведущих мировых производителей. В нашем каталоге вы всегда найдете компьютеры, ноутбуки, сумки для ноутбуков, КПК, аксессуары для КПК, карты памяти, цифровые фотоаппараты, цифровые фоторамки, MP3—плееры, цифровые диктофоны, портативные DVD—плееры. Цены на бытовую технику указаны в гривнах и у.е.";"380443613941";"info@electromag.com.ua";"Сергей";[2008/02/26:02:01:17 AM];true;0
41;8;5;"Комбинат";"Комбинат";"3124";"2062049";"";"";"http://www.servertrade.kiev.ua";false;1;"";"";false;"Киев и область";"24.07.2009";"У нас Вы можете купить серверы IBM, HP, Dell, компьютеры HP, Dell, ноутбуки HP, Dell, источники бесперебойного питания APC,заказать прокладку сетей
для Вашего офиса.";"";"gerelis@gmail.com";"Роман";[2008/02/26:01:48:22 PM];true;0
43;1178;5;"А-Видео";"А-Видео";"123104";"(495) 788-41-40, (495) 788-4185";"";"";"http://www.pioneerland.ru/";true;1;"";"http://www.pioneerland.ru/market.php";false;"Доставка оборудования по России
Уважаемые клиенты магазина в случае если Вам необходимо произвести доставку, служба доставки нашего магазина предоставит свои услуги, надежно и вовремя.
Доставка товаров в регионы России осуществляется только при условии 100% предоплаты согласно выставленного счета,
и отправляется транспортными компаниями до ближайшего города покупателя, услуги транспортных компаний оплачивается покупателем при получении груза.";"Режим работы салона HI-FI техники PIONEERLAND:
с 10-00 до 21-00   пон.- вос.";"ООО \""А-ВИДЕО\""
Специализированный магазин по продаже и установке цифрового оборудования PIONEER";"(495) 788-41-40";"info@pioneerland.ru";"Дмитрий";[2008/03/03:12:37:01 PM];true;0
44;1299;5;"ИРС";"ИРС";"191023";"(812) 601-06-89";"";"380903878";"http://www.boutique.ru";true;1;"";"http://www.boutique.ru/export/yandex.php";false;"Мы доставляем наши товары в любую точку мира";"круглосуточно";"Boutique.ru – это виртуальный бутик для настоящих ценителей одежды класса люкс.
Наш бутик предлагает одежду и аксессуары от более чем 200 ведущих фешн-дизайнеров и модных брендов со всего мира.
В виртуальных галереях Boutique.ru Вашему вниманию предлагается более 10 000 товаров: от последних коллекций женской одежды до эксклюзивных, созданных вручную, мужских костюмов, от изящных кожаных изделий и ювелирной бижутерии до casual и роскошного денима, представленного наряду с эксклюзивными сумками и обувью от и";"(812) 601-06-89";"vg@boutique.ru";"Вадим Говоров";[2008/03/03:03:19:22 PM];false;0
45;10;5;"InterStar.UA";"InterStar.UA";"83000";"+38(093)4177777";"+38(093)4177777";"373666533";"http://www.interstar.ua/";true;1;"";"http://www.interstar.ua/mobile/export/yandexmarket.xml.php";false;"По Киеву и Донецку, по СНГ ЖД и автотранспортом.";"Приём заказов через сайт КРУГЛОСУТОЧНО. Обработка заказов и связь с менеджером ежедневно с 9-00 до 19-00 по Киевскому времени, без выходных.";"Каталог мобильных телефонов и аксессуаров.";"380507567575";"stas@interstar.ua";"Станислав";[2008/03/03:06:09:31 PM];true;0
46;1178;5;"Сервис-ДА!";"Сервис-ДА!";"125167";"(495)961-26-06,961-26-05";"";"";"http://www.dymoshop.ru/";true;14;"";"http://www.dymoshop.ru/yandex.xml";false;"Сумма заказа для бесплатной доставки по г. Москва - 2000 рублей.Сроки доставки заказов стоимостью от 2000 до 8000 руб.: 2-3 дня после зачисления денег на расчетный счет.
Сроки доставки заказов стоимостью от 8000 руб. и выше: 1-2 дня после зачисления денег на расчетный счет.
Заказы стоимостью менее 2000 рублей можно получить только в нашем офисе, по предварительному заказу.";"Время работы офиса: с 9-30 до 17-30 в будние дни.";"Первый в России специализированный интернет-магазин по продаже ленточных принтеров Dymo и расходных материалов Dymo. Все электронные принтеры Dymo имеют официальную 2-х летнюю гарантию.";"961-26-06, 961-26-05";"servis-da@yandex.ru";"Дмитрий";[2008/03/03:06:51:00 PM];true;0
47;8;4;"Сейфы, замки";"Сейфы, замки";"1032";"234-51-53, 235-27-55";"";"385584376";"http://www.safelock.com.ua";true;14;"";"http://www.safelock.com.ua/market_yandex.php";false;"Доставка по Киеву, Харькову, Одессе, Донецку, Днепропетровску, Львову (до 1 эт. при отсутствии лифта) - 102 грн. Подъем на этаж просчитывается в зависимости от массы доставляемых сейфов.";"Пн-Пт: с 9.00 до 19.00 (без перерыва)
Сб: с 10.00 до 15.00 (без перерыва)
Вс: выходной";"Продажа сейфов различного назначения и конструкции (огнестойких, взломоустойчивых, для дома и офиса), замков, металлической мебели и дверной фурнитуры. Доставка по Киеву и Украине, гарантийное и послегарантийное обслуживание. Изготовление сейфов по индивидуальному заказу.";"234-83-47";"info@safelock.com.ua";"Баранова Елена";[2008/03/04:01:03:02 PM];true;0
48;8;5;"Игровые приставки";"Игровые приставки";"1011";"599-66-12,599-47-55";"";"";"http://www.pristavki.com.ua";true;14;"";"http://www.pristavki.com.ua/yandex.php";false;"Доставка по Киеву бесплатная.";"Режим работы:Понедельник-пятница:с 9.00 до 19.00
Суббота:	с 9.00 до 16.00
Воскресение:	выходной";"Интернет магазин по продаже игровых приставок, игр и аксессуаров.";"599-66-12";"psp100@online.ua";"Юлия";[2008/03/04:06:54:26 PM];true;0
49;8;5;"MVideo";"MVideo";"4074";"(044)4916222";"";"";"http://www.mvideo.kiev.ua";true;7;"";"http://mvideo.kiev.ua/price.php";false;"Доставка осуществляется с ПН по ПТ (с 11:00 до 20:00) , в СБ (с 10:00 до 16:00) бесплатно";"Пн-Пт (10:00-19:00)
Сб (10:00-16:00)";"Уважаемые посетители!
Интерент-магазин MVideo предлагает широкий ассортимент бытовой техники, аудио- и видео- электроники! Бесплатная доставка, подбор техники, консультация по товару! Звоните! Будем рады помочь!";"(044)4916222";"info@mvideo.kiev.ua";"Marina";[2008/03/05:02:31:59 PM];true;0
50;8;5;"bt-shop.com.ua";"bt-shop.com.ua";"2324";"044-2373949/2375200";"";"";"http://www.bt-shop.com.ua";true;10;"";"http://www.bt-shop.com.ua/index.php?show_price=yes";false;"Доставка по Киеву и киевской области";"Пн-Пт: 09-19.00, Сб: 09-14.00, Вс: выходной";"Bt-shop:бытовая и встраиваемая техника.Ауди-Видео электроника. Телевизоры.";"2373949/2375200/";"admin@bt-shop.com.ua";"Ирина";[2008/03/06:01:42:23 PM];true;0
51;1306;5;"Фламинго";"Фламинго";"620063";"8-800-200-2357";"flamingoservice";"469845005";"http://www.flamingo.ru";true;14;"";"http://www.flamingo.ru/tovar.yandex2.asp";false;"доставка цветов и подарков в течение одного дня с момента заказа";"круглосуточно";"Доставка цветов и подарков по России, СНГ и всему миру";"";"ruslan@flamingo.ru";"Евгений";[2008/03/11:12:43:59 PM];true;0
52;8;5;"AVMix.com.ua";"AVMix.com.ua";"4214";"(044)2294199 (050)4304415 (067)4304415";"";"395219934";"http://www.avmix.com.ua";false;1;"";"";false;"Доставка в пределах Киева и пригорода.  Доставка платная  от 10 до 20грн.";"Пн-Пт 10-00 до 19-00
Сб 10-00 до 13-00
Вс выходной";"У нас Вы можете выбрать и купить кухонные комбайны, холодильник, стиральную машину, соковыжималку, утюги, пылесосы и многое другое. Всегда Вам рады.";"";"consult@avmix.com.ua";"Марчук Андрей";[2008/03/20:12:05:00 PM];true;0
53;8;5;"Fotomax.com.ua";"Fotomax.com.ua";"3041";"4914780";"";"";"http://www.fotomax.com.ua";true;5;"";"http://www.fotomax.com.ua";false;"Доставка по Киеву
Доставка осуществляется с ПН по ПТ (с 10:00 до 19:00) , в СБ (с 11:00 до 16:00) Стоимость доставки: 
- для товаров стоимостью свыше 30у.е. доставка БЕСПЛАТНАЯ,
- для товаров стоимостью менее 30у.е. стоимость доставки по Киеву составляет 20 грн.
Доставка осуществляется по мере возможности, при заблаговременном заказе (желательно за сутки).
Возможность доставки просьба уточнять у наших менеджеров.";"Режим работы:
ПН..ПТ 
менеджеры: с 9:30 до 18:00
доставка: с 10 до 19:00
СБ
все службы: с 11 до 16:00 
ВС
Выходной";"Интернет-магазин FOTOmax. Продажа цифровой техники. Фото, видео, компьютерная, аудио техника. Украина. Киев";"";"info@fotomax.com.ua";"Андрей";[2008/03/20:01:17:48 PM];true;0
54;8;5;"Разноторг";"Разноторг";"4080";"4593777";"";"";"http://www.raznotorg.com.ua/";true;7;"";"http://raznotorg.com.ua/yandex/yandex_xml_raznotorg.xml";false;"Доставка по Киеву и Украине.";"с 9:00 до 18:00 по будням.";"Продажа различной электроники и электротехники.";"4593777";"yaroslav1977@list.ru";"Ярослав";[2008/03/20:02:02:52 PM];true;0
55;8;5;"Хит-маркет";"Хит-маркет";"3190";"8(044)223-81-20";"";"355343853";"http://www.hit-market.com.ua";true;3;"";"ftp://hit-market.com.ua/public_html/modules/Prise/prise.xls";false;"Доставка по г.Киев
платная и бесплатная в зависимости от товара";"пн-пт : 9-00 - 19-00
сб : 10-00 - 15-00";"Интернет магазин Hit-market продажа мобильных телефонов, цифровой техники, аксесуаров, ноутбуков,компьютеров и комплектующих.Большой выбор бытовой техники.Гарантия от производителя. Доставка по киеву.8(044)223-81-20";"8(044)2238120, 8(093)4044583";"operator@hit-market.com.ua";"Сергей";[2008/03/20:05:03:29 PM];true;0
56;8;5;"ТЕХНОСТАР Ю ЭЙ";"ТЕХНОСТАР Ю ЭЙ";"3134";"8-044-223-25-46";"";"363009305";"http://www.tehnostar.com.ua";true;5;"";"http://www.tehnostar.com.ua/prices/tehnostar.price.xml";false;"Бесплатная доставка по г. Киеву, если сумма заказа превышает 1000 грн.
Доставляем по всей Украине!";"пт.-пн. 9:00-18:00
сб. 10:00 - 16:00";"Интернет магазин бытовой техники ТЕХНОСТАР, LCD телевизоры Sony, ЖК телевизоры Sharp, купить LCD телевизоры Panasonic, плазменные телевизоры, продажа в Киеве, доставка по Украине";"223-25-46";"tehno-star@ukr.net";"Костя";[2008/03/21:01:29:07 PM];true;0
57;8;5;"Tehnovip.com";"Tehnovip.com";"4213";"5878867";"";"495071103";"http://www.tehnovip.com";true;7;"";"";false;"доставка по Киеву дезплатно!";"c 9.00 до 20.00";"Интернет магазин низких цен!";"5878867";"Semenchenko@lan.com.ua";"Семенченко Андрей";[2008/03/21:01:40:36 PM];true;0
58;8;5;"AIMarket";"AIMarket";"83000";"+38(095)624-27-48";"";"304006123";"http://www.aimarket.com.ua";true;1;"";"http://aimarket.com.ua/administrator/index2.php?pshop_mode=admin&page=product.csv_upload&option=com_";false;"Доставка при помощи курьера по Донецку, Макеевке.

Доставка по всей Украине при помощи Гюнсел, Автолюкс, Ночной экспресс.";"Режим работы с понедельника по субботу с 10 до 18.

Прием заказов в режиме online 24/7/365";"Широкий ассортимент компьютерной и офисной техники. Всегда в наличии видеокарты, процессоры, материнские платы, планки памяти, мультимедиа, жесткие диски, принтеры, сканеры, кпк, ноутбуки по самым оптимальным ценам в Украине.";"";"tsipiniuk@gmail.com";"Алексей";[2008/05/13:09:40:30 PM];true;0
59;8;5;"ТехноХата";"ТехноХата";"4112";"8044-501-92-97";"";"";"http://www.tehnohata.com";true;7;"";"\\\\Comp\\f\\Прайс для и-нет\\Е каталог\\tehnohata_bm.xml";false;"Доставка по Киеву бесплатная. Доставка по Киевскому региону платная - оплачивается только в одну сторону от КП 5 грн/км. Подъём на этаж и занос в квартиру при наличии лифта - бесплатно. По Украине отправляем товар удобным для клиента трансагенством по предоплате.";"График работы будние дни: с 9-00 до 18-00, суббота с 9-00 до 14-00.";"Магазина ТЕХНОХАТА предоставляет широкий выбор аудио, видео, бытовой, фото техники, телефонии. А так же климатическое оборудование: сплит системы, конвекторы, обогреватели, бойлеры, увлажнители и осушители воздуха. Выбор крупной, мелкой и встраиваемой техники позволит обеспечить Ваш дом всеми необходимыми предметами, тем самым, сделав свой дом УМНЫМ.  У наших консультантов, по возможности, вы можете получить дополнительную скидку, что бы гарантированно иметь с нами только ХОРОШЕЕ настроение.";"501-92-97";"shop@tehnohata.com";"Наталья Боборыкина";[2008/03/21:02:42:22 PM];true;0
